Day,Num,pH7.0V,pH7.5V,pH8.1S,pH8.1V,pH7.0S,pH7.5S
D2,164,6.815432,7.292742,8.101048,7.640503,6.998218,7.497451
D2,165,6.817655,7.29073,8.100748,7.610602,6.998391,7.497244
D2,166,6.83931,7.285674,8.101065,7.656207,6.999624,7.492445
D2,167,6.782882,7.252997,8.100748,7.688829,6.997987,7.497333
D2,168,6.7625,7.251869,8.100995,7.691435,6.998726,7.492301
D2,169,6.763512,7.252136,8.100726,7.689391,6.99883,7.496664
D2,170,6.796926,7.234099,8.101032,7.703768,6.999878,7.497315
D2,171,6.750827,7.191942,8.100636,7.747211,6.999817,7.491503
D3,172,6.721772,7.193908,8.100742,7.743724,6.999502,7.497382
D3,173,6.722431,7.192529,8.10093,7.741817,6.998704,7.492006
D3,174,6.777772,7.233392,8.087226,7.768701,7.033235,7.487892
D3,175,6.822442,7.26522,8.068623,7.777666,6.973699,7.495946
D3,176,6.884509,7.265464,8.087184,7.789554,6.972953,7.492939
D3,177,6.93284,7.264503,8.092247,7.788289,6.973964,7.497075
D3,178,6.923758,7.298094,8.097416,7.795344,6.995651,7.496843
D3,179,6.828881,7.307521,8.100599,7.82983,6.998144,7.497419
D3,180,6.815607,7.307278,8.098364,7.849625,6.997982,7.49732
D3,181,6.817152,7.30693,8.09651,7.845398,6.998628,7.49134
D3,182,6.881304,7.340866,8.101006,7.863509,6.974528,7.492229
D3,183,6.929125,7.360052,8.100696,7.887591,6.971216,7.492766
D3,184,6.968572,7.359477,8.100967,7.880798,6.974991,7.490642
D3,185,6.999905,7.359309,8.100653,7.890418,6.97022,7.497488
D3,186,6.982549,7.392534,8.100995,7.909345,6.995534,7.491586
D3,187,6.912997,7.403003,8.100722,7.923907,6.999405,7.49733
D3,188,6.912734,7.403564,8.101098,7.93879,6.999671,7.496719
D3,189,6.915015,7.403957,8.089575,7.94818,6.997809,7.497384
D3,190,6.9672,7.430275,8.100722,7.964746,6.997079,7.497467
D3,191,7.002846,7.460928,8.101028,7.980963,6.997804,7.496897
D3,192,7.036807,7.460932,8.100754,7.989132,6.999435,7.497504
D3,193,7.058517,7.46059,8.101075,7.998619,6.998881,7.496732
D3,194,7.054803,7.485281,8.100732,8.012581,6.998623,7.491572
D3,195,7.005819,7.513342,8.100904,8.019141,6.998024,7.496754
D3,196,7.005949,7.511999,8.097013,8.039999,6.999166,7.497642
D3,197,7.008209,7.51296,8.100726,8.047619,6.997907,7.490496
D3,198,7.065351,7.532842,8.100995,8.051321,7.000325,7.4916
D3,199,7.085639,7.556081,8.100748,8.063363,6.998789,7.497645
